took 0.657019 seconds, 39.161392 ns per cacheline, pageSize= 577536 , cacheLine=64, pages=1859 tlb misses=262458
took 0.654172 seconds, 38.991686 ns per cacheline, pageSize= 581632 , cacheLine=64, pages=1846 tlb misses=262414
took 0.658691 seconds, 39.261039 ns per cacheline, pageSize= 585728 , cacheLine=64, pages=1833 tlb misses=262460
took 0.654926 seconds, 39.036635 ns per cacheline, pageSize= 589824 , cacheLine=64, pages=1820 tlb misses=262439
took 0.662524 seconds, 39.489507 ns per cacheline, pageSize= 593920 , cacheLine=64, pages=1807 tlb misses=262353
took 0.658748 seconds, 39.264435 ns per cacheline, pageSize= 598016 , cacheLine=64, pages=1795 tlb misses=262408
took 0.657583 seconds, 39.195001 ns per cacheline, pageSize= 602112 , cacheLine=64, pages=1783 tlb misses=262439
took 0.665006 seconds, 39.637442 ns per cacheline, pageSize= 606208 , cacheLine=64, pages=1771 tlb misses=262452
took 0.668815 seconds, 39.864474 ns per cacheline, pageSize= 610304 , cacheLine=64, pages=1759 tlb misses=262430
took 0.665152 seconds, 39.646153 ns per cacheline, pageSize= 614400 , cacheLine=64, pages=1747 tlb misses=262500
took 0.658868 seconds, 39.271598 ns per cacheline, pageSize= 618496 , cacheLine=64, pages=1736 tlb misses=262470
took 0.670899 seconds, 39.988691 ns per cacheline, pageSize= 622592 , cacheLine=64, pages=1724 tlb misses=262387
took 0.663289 seconds, 39.535095 ns per cacheline, pageSize= 626688 , cacheLine=64, pages=1713 tlb misses=262427
took 0.661313 seconds, 39.417330 ns per cacheline, pageSize= 630784 , cacheLine=64, pages=1702 tlb misses=262441
took 0.662368 seconds, 39.480213 ns per cacheline, pageSize= 634880 , cacheLine=64, pages=1691 tlb misses=262439
took 0.661125 seconds, 39.406132 ns per cacheline, pageSize= 638976 , cacheLine=64, pages=1680 tlb misses=262418
took 0.672877 seconds, 40.106599 ns per cacheline, pageSize= 643072 , cacheLine=64, pages=1669 tlb misses=262522
took 0.665861 seconds, 39.688402 ns per cacheline, pageSize= 647168 , cacheLine=64, pages=1659 tlb misses=262501
took 0.665577 seconds, 39.671477 ns per cacheline, pageSize= 651264 , cacheLine=64, pages=1648 tlb misses=262492
took 0.674247 seconds, 40.188255 ns per cacheline, pageSize= 655360 , cacheLine=64, pages=1638 tlb misses=262404
took 0.674763 seconds, 40.219021 ns per cacheline, pageSize= 659456 , cacheLine=64, pages=1628 tlb misses=262432
