took 0.997358 seconds, 59.447160 ns per cacheline, pageSize= 671744 , cacheLine=64, pages=1598 tlb misses=262219
took 1.005616 seconds, 59.939381 ns per cacheline, pageSize= 675840 , cacheLine=64, pages=1588 tlb misses=262263
took 1.005269 seconds, 59.918705 ns per cacheline, pageSize= 679936 , cacheLine=64, pages=1579 tlb misses=262273
took 1.001522 seconds, 59.695367 ns per cacheline, pageSize= 684032 , cacheLine=64, pages=1569 tlb misses=262195
took 1.003843 seconds, 59.833710 ns per cacheline, pageSize= 688128 , cacheLine=64, pages=1560 tlb misses=262179
took 1.007566 seconds, 60.055612 ns per cacheline, pageSize= 692224 , cacheLine=64, pages=1551 tlb misses=262247
took 1.021619 seconds, 60.893242 ns per cacheline, pageSize= 696320 , cacheLine=64, pages=1542 tlb misses=262237
took 1.004864 seconds, 59.894560 ns per cacheline, pageSize= 700416 , cacheLine=64, pages=1533 tlb misses=262328
took 0.993344 seconds, 59.207906 ns per cacheline, pageSize= 704512 , cacheLine=64, pages=1524 tlb misses=262332
took 1.009404 seconds, 60.165178 ns per cacheline, pageSize= 708608 , cacheLine=64, pages=1515 tlb misses=262200
took 1.019405 seconds, 60.761266 ns per cacheline, pageSize= 712704 , cacheLine=64, pages=1506 tlb misses=262200
took 1.004771 seconds, 59.889018 ns per cacheline, pageSize= 716800 , cacheLine=64, pages=1497 tlb misses=262061
took 1.012505 seconds, 60.350004 ns per cacheline, pageSize= 720896 , cacheLine=64, pages=1489 tlb misses=262241
took 1.004819 seconds, 59.891889 ns per cacheline, pageSize= 724992 , cacheLine=64, pages=1481 tlb misses=262252
took 1.014944 seconds, 60.495381 ns per cacheline, pageSize= 729088 , cacheLine=64, pages=1472 tlb misses=262389
took 1.009710 seconds, 60.183410 ns per cacheline, pageSize= 733184 , cacheLine=64, pages=1464 tlb misses=262349
took 1.005745 seconds, 59.947070 ns per cacheline, pageSize= 737280 , cacheLine=64, pages=1456 tlb misses=262201
took 1.013521 seconds, 60.410557 ns per cacheline, pageSize= 741376 , cacheLine=64, pages=1448 tlb misses=262299
took 1.002037 seconds, 59.726048 ns per cacheline, pageSize= 745472 , cacheLine=64, pages=1440 tlb misses=262258
took 1.015750 seconds, 60.543428 ns per cacheline, pageSize= 749568 , cacheLine=64, pages=1432 tlb misses=262155
took 1.008348 seconds, 60.102224 ns per cacheline, pageSize= 753664 , cacheLine=64, pages=1424 tlb misses=262112
took 1.017809 seconds, 60.666139 ns per cacheline, pageSize= 757760 , cacheLine=64, pages=1416 tlb misses=262354
took 1.007831 seconds, 60.071415 ns per cacheline, pageSize= 761856 , cacheLine=64, pages=1409 tlb misses=262179
took 1.009807 seconds, 60.189194 ns per cacheline, pageSize= 765952 , cacheLine=64, pages=1401 tlb misses=262164
took 1.008056 seconds, 60.084815 ns per cacheline, pageSize= 770048 , cacheLine=64, pages=1394 tlb misses=262267
took 1.002498 seconds, 59.753532 ns per cacheline, pageSize= 774144 , cacheLine=64, pages=1387 tlb misses=262321
took 1.004617 seconds, 59.879838 ns per cacheline, pageSize= 778240 , cacheLine=64, pages=1379 tlb misses=262116
took 1.021542 seconds, 60.888652 ns per cacheline, pageSize= 782336 , cacheLine=64, pages=1372 tlb misses=262223
took 1.009540 seconds, 60.173278 ns per cacheline, pageSize= 786432 , cacheLine=64, pages=1365 tlb misses=262185
took 1.004359 seconds, 59.864462 ns per cacheline, pageSize= 790528 , cacheLine=64, pages=1358 tlb misses=262279
took 1.009538 seconds, 60.173150 ns per cacheline, pageSize= 794624 , cacheLine=64, pages=1351 tlb misses=262291
took 0.990955 seconds, 59.065528 ns per cacheline, pageSize= 798720 , cacheLine=64, pages=1344 tlb misses=262185
took 1.004892 seconds, 59.896223 ns per cacheline, pageSize= 802816 , cacheLine=64, pages=1337 tlb misses=262271
took 1.005513 seconds, 59.933242 ns per cacheline, pageSize= 806912 , cacheLine=64, pages=1330 tlb misses=262216
took 1.003360 seconds, 59.804918 ns per cacheline, pageSize= 811008 , cacheLine=64, pages=1323 tlb misses=262183
took 1.007168 seconds, 60.031894 ns per cacheline, pageSize= 815104 , cacheLine=64, pages=1317 tlb misses=262181
took 1.019692 seconds, 60.778376 ns per cacheline, pageSize= 819200 , cacheLine=64, pages=1310 tlb misses=262197
