took 1.018188 seconds, 60.688734 ns per cacheline, pageSize= 454656 , cacheLine=64, pages=2361 tlb misses=262124
took 1.021063 seconds, 60.860089 ns per cacheline, pageSize= 458752 , cacheLine=64, pages=2340 tlb misses=262262
took 1.020404 seconds, 60.820824 ns per cacheline, pageSize= 462848 , cacheLine=64, pages=2319 tlb misses=262098
took 1.011158 seconds, 60.269727 ns per cacheline, pageSize= 466944 , cacheLine=64, pages=2299 tlb misses=262160
took 1.014164 seconds, 60.448883 ns per cacheline, pageSize= 471040 , cacheLine=64, pages=2279 tlb misses=262692
took 0.997746 seconds, 59.470295 ns per cacheline, pageSize= 475136 , cacheLine=64, pages=2259 tlb misses=262154
took 1.023298 seconds, 60.993315 ns per cacheline, pageSize= 479232 , cacheLine=64, pages=2240 tlb misses=266189
took 1.010738 seconds, 60.244673 ns per cacheline, pageSize= 483328 , cacheLine=64, pages=2221 tlb misses=262124
took 1.016749 seconds, 60.602972 ns per cacheline, pageSize= 487424 , cacheLine=64, pages=2202 tlb misses=262150
took 1.007123 seconds, 60.029208 ns per cacheline, pageSize= 491520 , cacheLine=64, pages=2184 tlb misses=262058
took 1.009911 seconds, 60.195390 ns per cacheline, pageSize= 495616 , cacheLine=64, pages=2166 tlb misses=262134
took 1.009790 seconds, 60.188185 ns per cacheline, pageSize= 499712 , cacheLine=64, pages=2148 tlb misses=261991
took 1.016571 seconds, 60.592356 ns per cacheline, pageSize= 503808 , cacheLine=64, pages=2131 tlb misses=262180
took 1.022616 seconds, 60.952672 ns per cacheline, pageSize= 507904 , cacheLine=64, pages=2114 tlb misses=262204
took 1.022116 seconds, 60.922858 ns per cacheline, pageSize= 512000 , cacheLine=64, pages=2097 tlb misses=262190
took 1.029966 seconds, 61.390764 ns per cacheline, pageSize= 516096 , cacheLine=64, pages=2080 tlb misses=262131
took 1.011770 seconds, 60.306192 ns per cacheline, pageSize= 520192 , cacheLine=64, pages=2064 tlb misses=262109
took 1.013128 seconds, 60.387137 ns per cacheline, pageSize= 524288 , cacheLine=64, pages=2048 tlb misses=262200
took 1.009926 seconds, 60.196271 ns per cacheline, pageSize= 528384 , cacheLine=64, pages=2032 tlb misses=262127
took 1.010047 seconds, 60.203490 ns per cacheline, pageSize= 532480 , cacheLine=64, pages=2016 tlb misses=262229
took 1.008979 seconds, 60.139840 ns per cacheline, pageSize= 536576 , cacheLine=64, pages=2001 tlb misses=262190
took 1.009608 seconds, 60.177314 ns per cacheline, pageSize= 540672 , cacheLine=64, pages=1985 tlb misses=261941
took 1.016732 seconds, 60.601948 ns per cacheline, pageSize= 544768 , cacheLine=64, pages=1971 tlb misses=262257
took 0.995330 seconds, 59.326297 ns per cacheline, pageSize= 548864 , cacheLine=64, pages=1956 tlb misses=262160
took 1.005042 seconds, 59.905176 ns per cacheline, pageSize= 552960 , cacheLine=64, pages=1941 tlb misses=262089
